"id","osm_id","name","highway","xy_start","xy_end","length","datetime","daytime","distance","travel_time","speed"
1,147950966,"Cavalcavia Alcide De Gasperi","tertiary","40.6326907,17.9417864","40.6305137,17.9397958",296.7840517061819,"2025-10-14 20:26:02.481504","evening",296,57,19
2,34024914,"Cavalcavia Alcide De Gasperi","tertiary","40.6304466,17.9398572","40.6326582,17.9418449",299.77488210978925,"2025-10-14 20:26:02.481504","evening",300,63,17
3,34063499,"Corso Roma","tertiary","40.6327765,17.9418998","40.6333678,17.9424338",79.70446207009688,"2025-10-14 20:26:02.481504","evening",79,19,15
4,34063502,"Corso Roma","unclassified","40.6355363,17.944474","40.636799,17.9456473",171.79711823038778,"2025-10-14 20:26:02.481504","evening",167,59,10
5,34063503,"Via Conserva","tertiary","40.6350416,17.9447761","40.6355363,17.944474",60.58875427433556,"2025-10-14 20:26:02.481504","evening",58,15,14
6,34149880,"Piazza Vittorio Emanuele II","unclassified","40.6394855,17.9481199","40.6399352,17.9485625",62.47605996586916,"2025-10-14 20:26:02.481504","evening",60,19,11
7,34149881,"Piazza Vittorio Emanuele II","unclassified","40.6399352,17.9485625","40.6402126,17.9482732",41.54570131430186,"2025-10-14 20:26:02.481504","evening",38,10,14
10,263375140,"Via Porta Lecce","tertiary","40.6331085,17.9457904","40.6350416,17.9447761",231.2353181313376,"2025-10-14 20:26:02.481504","evening",232,40,21
11,263375142,"Via Porta Lecce","tertiary","40.632145,17.9461589","40.6321534, 17.9461266",50.19455194154772,"2025-10-14 20:26:02.481504","evening",6,1,22
12,263943845,"Piazza Vittorio Emanuele II","unclassified","40.6402126,17.9482732","40.6398219,17.947574",73.55195208897635,"2025-10-14 20:26:02.481504","evening",74,18,15
13,264441358,"Via Nazario Sauro","tertiary","40.6317907,17.9437119","40.6321603,17.9431823",78.93902062502951,"2025-10-14 20:26:02.481504","evening",77,38,7
14,265859409,"Via Nazario Sauro","tertiary","40.6321603,17.9431823","40.6317846,17.9436522",63.393975263039614,"2025-10-14 20:26:02.481504","evening",66,11,22
15,268276536,"Corso Roma","tertiary","40.6335762,17.9426452","40.6343449,17.9433481",104.03709411497968,"2025-10-14 20:26:02.481504","evening",103,23,16
16,268276569,"Via Saponea","tertiary","40.6346387,17.9436377","40.6350416,17.9447761",106.77862172777476,"2025-10-14 20:26:02.481504","evening",107,28,14
17,422354399,"Via Porta Lecce","tertiary","40.6325866,17.9460503","40.6329511,17.9458786",43.00411406515984,"2025-10-14 20:26:02.481504","evening",43,7,22
21,432160322,"Via del Mare","tertiary","40.6356734,17.9489021","40.632629,17.9470327",377.12467703467775,"2025-10-14 20:26:02.481504","evening",378,40,34
26,591643203,"Via del Mare","tertiary","40.6357879,17.9490041","40.6361694,17.9495187",60.940738485556444,"2025-10-14 20:26:02.481504","evening",63,8,28
27,591643204,"Via del Mare","tertiary","40.636199,17.9493759","40.6357879,17.9490041",55.57820887744669,"2025-10-14 20:26:02.481504","evening",56,7,29
28,591643205,"Via del Mare","tertiary","40.6365416,17.9495662","40.6362717,17.9494171",32.56576790289175,"2025-10-14 20:26:02.481504","evening",32,3,38
29,591643206,"Via del Mare","tertiary","40.6362319,17.9495408","40.6365416,17.9495662",34.45920378382642,"2025-10-14 20:26:02.481504","evening",35,5,25
30,591643208,"Via del Mare","tertiary","40.6379764,17.9492263","40.6365416,17.9495662",168.1229819772072,"2025-10-14 20:26:02.481504","evening",168,23,26
31,653154094,"Via del Mare","tertiary","40.6379764,17.9492263","40.6393052,17.9486561",156.03270370804083,"2025-10-14 20:26:02.481504","evening",157,35,16
32,653261036,"Via Bastioni San Giacomo","tertiary","40.6317907,17.9437119","40.6321039,17.9459428",191.91590037059893,"2025-10-14 20:26:02.481504","evening",198,34,21
33,653416973,"Corso Roma","tertiary","40.6343449,17.9433481","40.6346387,17.9436377",40.80025098827536,"2025-10-14 20:26:02.481504","evening",43,9,17
34,686034646,"Via del Mare","tertiary","40.6391981,17.9483632","40.6379764,17.9492263",154.14289432542165,"2025-10-14 20:26:02.481504","evening",155,24,23
35,788653947,"Corso Roma","tertiary","40.6333678,17.9424338","40.6335762,17.9426452",29.24737944254077,"2025-10-14 20:26:02.481504","evening",30,7,15
36,800130442,"Via del Mare","tertiary","40.632629,17.9470327","40.6322208,17.9464718",65.80519523235895,"2025-10-14 20:26:02.481504","evening",66,8,30
39,34024913,"Via Nazario Sauro","tertiary","40.6327765,17.9418998","40.6321603,17.9431823",154.1555094081637,"2025-10-14 20:26:02.481504","evening",153,27,20
40,34063499,"Corso Roma","tertiary","40.6333678,17.9424338","40.6327765,17.9418998",79.70446207009688,"2025-10-14 20:26:02.481504","evening",84,24,13
42,432160322,"Via del Mare","tertiary","40.632629,17.9470327","40.6356734,17.9489021",377.12467703467775,"2025-10-14 20:26:02.481504","evening",378,44,31
43,591643208,"Via del Mare","tertiary","40.6365416,17.9495662","40.6379764,17.9492263",168.1229819772072,"2025-10-14 20:26:02.481504","evening",168,23,26
44,653261036,"Via Bastioni San Giacomo","tertiary","40.6321039,17.9459428","40.6317907,17.9437119",191.91590037059893,"2025-10-14 20:26:02.481504","evening",198,37,19
45,788653947,"Corso Roma","tertiary","40.6335762,17.9426452","40.6333678,17.9424338",29.24737944254077,"2025-10-14 20:26:02.481504","evening",30,8,14
46,800130442,"Via del Mare","tertiary","40.6322208,17.9464718","40.632629,17.9470327",65.80519523235895,"2025-10-14 20:26:02.481504","evening",66,9,26
38,34024913,"Via Nazario Sauro","tertiary","40.6321603,17.9431823","40.6327765,17.9418998",154.1555094081637,"2025-10-14 20:26:02.481504","evening",153,64,9
